filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
0 Rubicam Ave Abington PA 19001.png,0 Rubicam Ave,Abington,PA,19001,2022 Google,Aug 2018,Picture,"https://www.google.com/maps/place/Rubicam+Ave,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.137495,-75.1248992,3a,75y,129.68h,90t/data=!3m7!1e1!3m5!1sZ3vzaiIvbk0Zymac6z7oKA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DZ3vzaiIvbk0Zymac6z7oKA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D129.68292%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b03929ab74ad:0x69dc97b99086e75e!8m2!3d40.1366538!4d-75.1256931"
0 Patane Ave Abington PA 19001.png,0 Patane Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Patane+Ave,+Abington,+PA+19001,+USA/@40.1333988,-75.1341104,17z/data=!4m5!3m4!1s0x89c6b06a876a729d:0xf96ddfd3b451fe53!8m2!3d40.1333988!4d-75.1319217"
943 Old York Rd Abington PA 19001.png,943 Old York Rd,Abington,PA,19001,2022 Google,Jun 2019,Picture,"https://www.google.com/maps/place/943+Old+York+Rd,+Abington,+PA+19001,+USA/@40.1081502,-75.122005,3a,75y,350.71h,90t/data=!3m7!1e1!3m5!1slOF3p_e3nNoUvtnOvzDjdA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DlOF3p_e3nNoUvtnOvzDjdA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D350.70944%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f0d9557f1d:0xd708050ea34217e8!8m2!3d40.1084504!4d-75.122066"
0 Old Welsh Rd Abington PA 19001.png,0 Old Welsh Rd,Abington,PA,19001,2022 Google,Aug 2019,Picture,"https://www.google.com/maps/place/Old+Welsh+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1338611,-75.1188563,3a,75y,27.4h,90t/data=!3m7!1e1!3m5!1s_8VoNhHYXAjI9jgC0O_NoQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_8VoNhHYXAjI9jgC0O_NoQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D27.399618%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b037e3836c7d:0xc511cd0036c31326!8m2!3d40.1346884!4d-75.1149202"
2417 Norwood Ave Abington PA 19001.png,2417 Norwood Ave,Abington,PA,19001,2022 Google,Aug 2019,Picture,"https://www.google.com/maps/place/2417+Norwood+Ave,+Abington,+PA+19001,+USA/@40.1265331,-75.1323426,3a,75y,23.37h,90t/data=!3m7!1e1!3m5!1sx2Ruwbtiqk4EKF6KeXc0vg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dx2Ruwbtiqk4EKF6KeXc0vg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D23.372265%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0681157ec5d:0xbd5ba18f575fbff3!8m2!3d40.126654!4d-75.1322772"
0 Huntingdon Pike Abington PA 19001.png,0 Huntingdon Pike,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Huntingdon+Pike,+Abington+Township,+PA,+USA/@40.1170289,-75.0691476,3a,75y,308.04h,90t/data=!3m7!1e1!3m5!1s7Vk5zpQhz2DDuZM7RUUu2Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D7Vk5zpQhz2DDuZM7RUUu2Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D308.04053%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b18ff2afa685:0x74376ed531a4de84!8m2!3d40.1128778!4d-75.0739903"
0 Galloway Ave Abington PA 19001.png,0 Galloway Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Galloway+Ave,+Abington+Township,+PA+19001,+USA/@40.138489,-75.138625,17z/data=!4m5!3m4!1s0x89c6b0147b5a2b11:0x107ea74a09e6dbdd!8m2!3d40.138489!4d-75.1364363"
0 Eckard Ave Abington PA 19001.png,0 Eckard Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Eckard+Ave,+Abington,+PA+19001,+USA/@40.1153616,-75.1209948,17z/data=!4m5!3m4!1s0x89c6b05789594f29:0xd988f45da57fc3f5!8m2!3d40.1153616!4d-75.1188061"
0 Eckard Ave Abington PA 19001.png,0 Eckard Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Eckard+Ave,+Abington,+PA+19001,+USA/@40.1153616,-75.1209948,17z/data=!4m5!3m4!1s0x89c6b05789594f29:0xd988f45da57fc3f5!8m2!3d40.1153616!4d-75.1188061"
0 Brookdale Ave Abington PA 19001.png,0 Brookdale Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Brookdale+Ave,+Abington,+PA+19001,+USA/@40.1281679,-75.1375045,17z/data=!4m5!3m4!1s0x89c6b068eee63611:0x4c06c8d167ea5cf1!8m2!3d40.1281679!4d-75.1353158"
